X,Y,Full Name,City,State,Zip Code,County,Manually adjusted?
-121.0485719,40.2979436,"Clear Creek, CA",Clear Creek,CA,96137,LASSEN,1
-122.6263728,38.9582307,"Clearlake, CA",Clearlake,CA,95422,LAKE,0
-119.7029194,36.8252277,"Clovis, CA",Clovis,CA,93611,FRESNO,0
-121.7310898,39.9254385,"Cohasset, CA",Cohasset,CA,95973,BUTTE,0
-121.5141615,39.7999897,"Concow, CA",Concow,CA,95965,BUTTE,0
-122.1791556,39.9276572,"Corning, CA",Corning,CA,96021,TEHAMA,0
-122.2808355,40.3857087,"Cottonwood, CA",Cottonwood,CA,96022,SHASTA,0
-124.2025913,41.7557501,"Crescent City, CA",Crescent City,CA,95531,DEL NORTE,0
-122.2130236,38.0524208,"Crockett, CA",Crockett,CA,94525,CONTRA COSTA,0
-121.7405167,38.5449065,"Davis, CA",Davis,CA,95616,YOLO,0
-121.8232958,38.4454641,"Dixon, CA",Dixon,CA,95620,SOLANO,0
-120.104056,40.0272338,"Doyle, CA",Doyle,CA,96109,LASSEN,0
-121.9695801,38.8852378,"Dunnigan, CA",Dunnigan,CA,95937,YOLO,0
-122.2719529,41.2082089,"Dunsmuir, CA",Dunsmuir,CA,96025,SISKIYOU,0
-121.7999767,39.6462733,"Durham, CA",Durham,CA,95938,BUTTE,0
-119.6526423,37.0127274,"East Bay, CA",East Bay,CA,93626,FRESNO,1
-121.3716178,38.4087993,"Elk Grove, CA",Elk Grove,CA,95624,SACRAMENTO,0
-124.1636729,40.8020712,"Eureka, CA",Eureka,CA,95501,HUMBOLDT,0
-120.6604855,38.5935173,"Fair Play, CA",Fair Play,CA,95684,EL DORADO,1
-121.2563504,39.5932207,"Feather Falls, CA",Feather Falls,CA,95940,BUTTE,0
-122.0732973,37.0513374,"Felton, CA",Felton,CA,95018,SANTA CRUZ,0
-121.1760583,38.6779591,"Folsom, CA",Folsom,CA,95630,SACRAMENTO,0
-121.2671825,39.5171268,"Forbestown, CA",Forbestown,CA,95941,BUTTE,0
-121.6810778,39.873843,"Forest Ranch, CA",Forest Ranch,CA,95942,BUTTE,0
-123.8052935,39.445723,"Fort Bragg, CA",Fort Bragg,CA,95437,MENDOCINO,0
-122.2710788,37.5585465,"Foster City, CA",Foster City,CA,94404,SAN MATEO,1
-121.9885719,37.5482697,"Fremont, CA",Fremont,CA,94536,ALAMEDA,0
-119.7871247,36.7377981,"Fresno, CA",Fresno,CA,93650,FRESNO,0
-122.1502688,40.0562678,"Gerber, CA",Gerber,CA,96035,TEHAMA,0
